word,type,note,url,sefaria_ref
ἐξέδρα,Greek,"Greek ἐξέδρα, a covered walkway without walls.",https://chavrutai.com/yerushalmi/Eruvin/8#4-1,Jerusalem_Talmud_Eruvin.8.4.1
δίαιτα,Greek,"Greek δίαιτα, ἡ. The two rows of houses share a common courtyard but no eruv",https://chavrutai.com/yerushalmi/Eruvin/8#9-1,Jerusalem_Talmud_Eruvin.8.9.1
ἡ,Greek,"Greek δίαιτα, ἡ. The two rows of houses share a common courtyard but no eruv",https://chavrutai.com/yerushalmi/Eruvin/8#9-1,Jerusalem_Talmud_Eruvin.8.9.1
καταφερής,Greek,"Greek καταφερής, -ές.",https://chavrutai.com/yerushalmi/Eruvin/8#9-2,Jerusalem_Talmud_Eruvin.8.9.2
ές,Greek,"Greek καταφερής, -ές.",https://chavrutai.com/yerushalmi/Eruvin/8#9-2,Jerusalem_Talmud_Eruvin.8.9.2
ψήφος,Greek,"With the Tosephta read פסיפס Greek ψήφος, ὁ.",https://chavrutai.com/yerushalmi/Eruvin/9#1-4,Jerusalem_Talmud_Eruvin.9.1.4
ὁ,Greek,"With the Tosephta read פסיפס Greek ψήφος, ὁ.",https://chavrutai.com/yerushalmi/Eruvin/9#1-4,Jerusalem_Talmud_Eruvin.9.1.4
linteum,Latin,Latin linteum,https://chavrutai.com/yerushalmi/Eruvin/9#1-5,Jerusalem_Talmud_Eruvin.9.1.5
fascia,Latin,"Latin fascia, -ae, f",https://chavrutai.com/yerushalmi/Eruvin/10#3-4,Jerusalem_Talmud_Eruvin.10.3.4
claustrum,Latin,"Latin claustrum, -i, n.,",https://chavrutai.com/yerushalmi/Eruvin/10#10-1,Jerusalem_Talmud_Eruvin.10.10.1
splenium,Latin,Latin splenium,https://chavrutai.com/yerushalmi/Eruvin/10#11-3,Jerusalem_Talmud_Eruvin.10.11.3
νῆμα,Greek,"Greek νῆμα, ἡ, “string” of musical instruments. Tying a new string would make an unusable instrument usable; this is biblically forbidden also in the Temple where biblically forbidden work on the Sabbath is only permitted for the explicitly required sacrifices. Making a permanent knot is also biblically forbidden (Mishnah Šabbat",https://chavrutai.com/yerushalmi/Eruvin/10#12-1,Jerusalem_Talmud_Eruvin.10.12.1
ἡ,Greek,"Greek νῆμα, ἡ, “string” of musical instruments. Tying a new string would make an unusable instrument usable; this is biblically forbidden also in the Temple where biblically forbidden work on the Sabbath is only permitted for the explicitly required sacrifices. Making a permanent knot is also biblically forbidden (Mishnah Šabbat",https://chavrutai.com/yerushalmi/Eruvin/10#12-1,Jerusalem_Talmud_Eruvin.10.12.1
