row,headword,sense_index,pos,etymology,definition,refs,other_refs
532,הוֹד²,1,masculine,"splendour, vigour",—a man of Asher.,I Chronicles 7:37,
533,הוֹדַוְיָה,1,masculine,,v. sub.,,"BDB, יָדָה"
534,הוֹדַוְיָה;,1,masculine,,,,
535,הוֹדַוְיָה;,7,masculine,,"(replace by יְהוּדָה, ). הוֹדַוְיָהוּ Q., הודיוהו K n.pr.m..",Ezra 2:10; Ezra 3:9; I Chronicles 3:24,
536,הוֹדִיָּה,1,masculine,my splendour is Yah,—,,
537,הוֹהָם,1,masculine,,Canaanitish king of Hebron.,Joshua 10:3,
538,הוֹשָׁמָע,1,masculine,,'= יְהוֹ׳ v. sub.,,"BDB, יהוה; BDB, הַיָּה²"
539,הוֹשֵׁעַ²,1,masculine,"salvation; on form, cf. הַשְׁמֵד, הַמְשֵׁל; on pronunciation v. HptZA ii, 261 Anm. 2 JägerBAS i, 468",—,,
540,הוֹתִיר,1,masculine,,v. יתר.,,
541,הוֹתִיר²,1,masculine,"abundance, superabundance","—a son of Heman, according to, (but on the ostensible list of names v. Ew§ 274 b WeProl.229; Hist. Isr. 219 RSOTJC 224; 2nd ed. 143).",I Chronicles 25:4; I Chronicles 25:28,
542,הֵימָן,1,masculine,,"Heman (faithful, cf. Aramaic מְהֵימָן, ܡܗܰܝܡܰܢ [מהימן] ) a wise man with whom Solomon is compared, where app. son of Mahol (Klo sons of the dance); named with 3 others, one being Ethan the Ezrahite; a Heman is named with same 3 + 1 other, & all called sons of Zerah of Judah; Heman appears also as the Ezrahite (v. sub ), cf. Ethan supr.; in other passages Heman is a Levite; specif. Kohathite, son of Joel, called the singer (הַמְשׁוֹרֵר) (‖ Asaph v, Ethan v ); Heman, Asaph & Ethan named as the singers (הַמְשֹׁרְרִים); cf. Heman & Jeduthun, (‖ Asaph v ); Heman, Asaph & Jeduthun; elsewhere בְּנֵי אָסָף וְהֵימָן וִידוּתוּן cf. v (×2), (×2); בְּנֵי הֵימָן (‖ בְּנֵי ידוּתוּן); Heman is called חֹזֵה הַמֶּלָךְ בְּדִבְרֵי הָאֱלֹהִים (cf. Asaph, Jeduthun ).—On question of identity of Heman in these various connections, v. Thes Comm.",I Kings 5:11; I Chronicles 2:6; Psalms 88:1; I Chronicles 6:18; I Chronicles 6:24; I Chronicles 6:29; I Chronicles 15:17; I Chronicles 15:19; I Chronicles 16:41; I Chronicles 16:42; I Chronicles 16:37; I Chronicles 25:6; II Chronicles 5:12; II Chronicles 35:15; I Chronicles 25:1; I Chronicles 25:4; II Chronicles 25:5; II Chronicles 29:14; I Chronicles 25:5; II Chronicles 29:30; II Chronicles 35:15,"BDB, זָרַח"
543,הֵימָן²,1,,,v..,,"BDB, אָמַן"
544,הִלֵּל,1,masculine,"he hath praised; cf. NH n.pr. הִלֵּל, Hillel","father of a judge of Israel, called הַפִּרְעָתוֹנִי v..",Judges 12:13; Judges 12:15,"BDB, פִּרְעָתוֹן"
545,הָ֑ם,1,locative (place name),,only in הַזּוּזִים בְּהָ֑ם; not otherwise known; Vrss בָּהֶם; JerQuaest. in libr. Genes. בְּחֹם; Ol conj. בַּחֲמָת; Tu Di think perhaps old name of Rabbath Ammon.,Genesis 14:5,
546,הַמְּדָתָא,1,masculine,,"father of Haman (Pers. mâh, moon Öt; 𝔊 Ἁμαδαθου [Hamadathou] (always Genit.); in Gk. perhaps Μαδάτης [Μαδάτας, Μαδέτης [Madatas, Madetēs]], cf. XenophCyr, v. 3. 41 Diodxvii, 67 PottZMG 1859, 424);—הַמְּדָתָא הָֽאֲגָגִי; without האגגי.",Esther 3:1; Esther 3:10; Esther 8:5; Esther 9:24; Esther 9:10,
547,הֲמוֹנָהֿ,1,locative (place name),,"a city appar. to be founded to commemorate defeat of Gog, וְגַם שֶׁם־עִיר ה׳, but text dub. cf. Da; Co proposes וגמר המונו v. supr.",Ezekiel 39:16,"BDB, הָמוֹן"
548,הָמָן,1,masculine,,"Haman, favourite of Ahasuerus (etym. dub.; according to JenVOJ 1892, 58 ff. = Elamit. n.pr.div. Ḫumban, or Ḫumman)— + 53 times in Esther.",Esther 3:1,
