rank,name,normalized_name,count,example_1,example_2,example_3
987,Rebbi Tanḥum bar Ḥanina,R' Tanḥum bar Ḥanina,1,Berakhot 4:4.10,,
988,Rebbi Eudaimon from Ḥaifa,R' Avdimi from Ḥaifa,1,Berakhot 4:4.11,,
989,Rebbi Ḥananiah bar Pappus,R' Ḥananiah bar Pappus,1,Berakhot 4:4.11,,
990,Rebbi Aḥawa the son of Rebbi Zeïra,R' Aḥava the son of R' Ze'ira,1,Berakhot 5:1.3,,
991,"Rebbi Yudan, the son of Rebbi Ayvu","R' Yudan, the son of R' Ayvu",1,Berakhot 5:1.3,,
992,Rebbi Ḥanina from Ein,R' Ḥanina from Ein,1,Berakhot 5:1.15,,
993,Rebbi Tanḥuma from Edreï,R' Tanḥuma from Edreï,1,Berakhot 5:2.3,,
994,Rebbi Tanḥum from Edreï,R' Tanḥum from Edreï,1,Berakhot 5:2.3,,
995,Rebbi Eleazar ben Rebbi Hoshaiah,R' Elazar ben R' Hoshaiah,1,Berakhot 5:2.12,,
996,ben Rebbi Simai,ben R' Simai,1,Berakhot 5:2.12,,
997,Rebbi Judah ben Pazy,R' Yehudah ben Pazy,1,Berakhot 5:3.5,,
998,Rebbi Tanḥuma ben Rebbi Ḥiyya,R' Tanḥuma ben R' Ḥiyya,1,Berakhot 5:4.6,,
999,Abbaye ben Rebbi Benjamin,Abbaye ben R' Binyamin,1,Berakhot 5:4.7,,
1000,the son of Rabban,the son of Rabban,1,Berakhot 5:5.3,,
1001,Rebbi Samuel ben Rebbi Naḥmani,R' Shmuel ben R' Naḥmani,1,Berakhot 5:5.3,,
1002,Rebbi Ḥiyya bar Pappus,R' Ḥiyya bar Pappus,1,Berakhot 6:1.6,,
1003,Rebbi Isaac bar Mari,R' Yitzḥak bar Mari,1,Berakhot 6:1.15,,
1004,Cahana bar Malkiah,Kahana bar Malkiah,1,Berakhot 6:1.16,,
1005,Bar Marina,Bar Marina,1,Berakhot 6:1.17,,
1006,Rav Ḥaggai,Rav Ḥaggai,1,Berakhot 6:5.3,,
1007,Rebbi Ḥanina bar Sisai,R' Ḥanina bar Sisai,1,Berakhot 6:5.4,,
